meta_ad_id,audit_creative_signature,final_classification,final_manual_category
1233400271793239,e3a93967ae70c5dc21a144fbc97dc40d202c7d20f2e478f01ed4bdd74d0478d0,commercial,commercial_or_insufficient_evidence
1326640972727734,2d61ee448467388121c32d3a422e35c90299a122c534473014a9363acf45a0d9,commercial,commercial_or_insufficient_evidence
917209954037108,5f4374de5e5765e94ce5fe7503cbba6817faa92eeec0342a3077ba7b64903621,commercial,commercial_or_insufficient_evidence
888770854135326,f42ff21e153334fe27cfab6fec1f502699c3958bb2897bdaba833211c66db438,commercial,commercial_or_insufficient_evidence
948244974304235,ea51d8e4114e3c670c9aea7f1ae9103876fcf35192bb2da3dc38822b0e190447,commercial,commercial_or_insufficient_evidence
962297176971640,e83e4d4f2009ce20ef98d91066ac624e0ab83394aa58386e16b9861b5be11c96,commercial,commercial_or_insufficient_evidence
2416670048848566,e47269718b837dd249329bcb2fa83215fe6891254fc9a85ca64ea0f5a48f27b9,commercial,commercial_or_insufficient_evidence
2385653955206692,e7613be14a8dd2d6e63ac3fc9a3c7f93a5fccaf3f3b62b474132b05b5b723702,commercial,commercial_or_insufficient_evidence
2176909409723578,2bd2fe6a6d7b18aea038a7238ec966ea15ce61ca4ee15ef9e4e7b5f25271d8d5,commercial,commercial_or_insufficient_evidence
26371460555771725,30175e13d938c9b2ec7d955295c3b964facc65be1e2adf4f9083486b06f56293,noncommercial,supplier_or_b2b_programme
1372855857931282,a3db0553e72b94ec372c7ea9a1b3c84f6dbe22839d7c103b7bf62f103f35040b,noncommercial,supplier_or_b2b_programme
1244275524521532,86c4b98a478c59b43ee6e406a9426e40897a4fd252cbd545cd70b083d1234ded,commercial,commercial_or_insufficient_evidence
892899190333909,0c377a98c79bbd53582cc54b2e35062f5f5494762f21b8b8c2fd6acbeaade732,commercial,commercial_or_insufficient_evidence
1215328084050277,86c4b98a478c59b43ee6e406a9426e40897a4fd252cbd545cd70b083d1234ded,commercial,commercial_or_insufficient_evidence
1120298253484785,48da32c2ee614b21f3c78905955f9d641fef97d9519b3534a5800a3e1037289f,commercial,commercial_or_insufficient_evidence
806860102441928,86c4b98a478c59b43ee6e406a9426e40897a4fd252cbd545cd70b083d1234ded,commercial,commercial_or_insufficient_evidence
2853205488358563,48da32c2ee614b21f3c78905955f9d641fef97d9519b3534a5800a3e1037289f,commercial,commercial_or_insufficient_evidence
1573767633931390,fb2fbbc8f92fbfe6e15aa13675d7603691d9918765a8a0bc3bca9a908381873a,commercial,commercial_or_insufficient_evidence
950717970824444,0c377a98c79bbd53582cc54b2e35062f5f5494762f21b8b8c2fd6acbeaade732,commercial,commercial_or_insufficient_evidence
