creative_signature_hash,target_gender,target_ages,platform_category,search_brand,sector,age_scope,configuration_ad_id_count,de_male,de_female,de_unknown,de_age_13_17,de_age_18_24,de_age_25_34,de_age_35_44,de_age_45_54,de_age_55_64,de_age_65_plus,de_age_unknown,known_gender_reach,known_adult_reach,female_delivery_share,adult_18_34_share,gender_data_usable,age_data_usable,has_unknown_gender,has_unknown_age
00c09424bc349f88388aa728e4f163b8abb521c40e9e2e7176112e9e1b30124c,All,"[""18"",""65""]",Other,About You,fashion,Broad,2,358343.0,292749.0,10567.0,0.0,29117.0,58033.0,55259.0,105056.0,210939.0,203254.0,1.0,651092.0,661658.0,0.44962770238307337,0.13171457157625238,1,1,1.0,1.0
00c9074eb6f3b7ee4e002a0b0f7d17b5711c38351112d95da68212d5ca96e5d2,All,"[""18"",""65""]",Instagram-only,Edeka Südwest,grocery,Broad,1,538.0,2324.0,229.0,0.0,413.0,590.0,678.0,615.0,598.0,197.0,0.0,2862.0,3091.0,0.8120195667365478,0.32449045616305405,1,1,1.0,0.0
00cedc0750a68c6596425e497c798c2598df00c43f0d735fd8ca58a63660e26d,All,"[""18"",""65""]",Other,Flaconi,health_beauty,Broad,3,25130.0,78475.0,643.0,0.0,6813.0,32173.0,31167.0,19246.0,10937.0,3912.0,0.0,103605.0,104248.0,0.7574441387963902,0.3739736014120175,1,1,1.0,0.0
00d343edc748ed3a40d371b5b2d0450c35d69fc6e073db2919f2e0994f2a0790,All,"[""18"",""65""]",Other,Lidl,grocery,Broad,6,338786.0,691552.0,9732.0,0.0,107763.0,378446.0,267566.0,128353.0,104211.0,53553.0,178.0,1030338.0,1039892.0,0.6711894543344029,0.46755720786389354,1,1,1.0,1.0
00d836ce030bf3e69634c8dc1f6868e0a2cdb636c34d846b211f63a8f67b56b6,Women,"[""18"",""65""]",Instagram-only,dm,health_beauty,Broad,1,0.0,63231.0,0.0,0.0,20858.0,21304.0,10232.0,5475.0,3926.0,1436.0,0.0,63231.0,63231.0,1.0,0.6667931868861793,1,1,0.0,0.0
00db0aa86db8105853ade84145f5916779019f1626c7cee0c08590839b04ec57,Women,"[""18"",""65""]",Instagram-only,dm,health_beauty,Broad,1,21348.0,5501.0,515.0,0.0,5321.0,10760.0,5169.0,3030.0,2183.0,901.0,0.0,26849.0,27364.0,0.20488658795485865,0.5876699312965941,1,1,1.0,0.0
00dca0b8ea00422a90d02299e744cccb5982d6e3573c2a28806490fb12cca743,All,"[""18"",""65""]",Both,Lidl,grocery,Broad,1,200271.0,458290.0,15445.0,0.0,139312.0,240384.0,158216.0,41405.0,48013.0,46658.0,18.0,658561.0,673988.0,0.6958960521500666,0.5633572111076162,1,1,1.0,1.0
00dcf8a505c248b1c83f730e05a661452512bf86cce510d7b0e546afbd161d78,All,"[""18"",""65""]",Both,Aldi Süd,grocery,Broad,4,637864.0,812444.0,128256.0,0.0,302000.0,526100.0,290341.0,203901.0,170879.0,85250.0,93.0,1450308.0,1578471.0,0.5601872154052794,0.5246216116735752,1,1,1.0,1.0
00dd629e482de4701d775cb1192f0247441eee3f5a62145558006462f86009ce,All,"[""18"",""65""]",Instagram-only,dm,health_beauty,Broad,1,12.0,130.0,0.0,0.0,9.0,39.0,30.0,27.0,28.0,9.0,0.0,142.0,142.0,0.9154929577464789,0.3380281690140845,1,1,0.0,0.0
00dddf6b41b9d5fe96619021997cd90ccf7ac934787c6072cff35c6e87179aa8,All,"[""18"",""65""]",Both,Edeka Südwest,grocery,Broad,1,752.0,641.0,14.0,0.0,68.0,202.0,323.0,299.0,273.0,242.0,0.0,1393.0,1407.0,0.4601579325197416,0.19189765458422176,1,1,1.0,0.0
